Source,Target,Regulation
SP1,hsa-mir-195,TF-miRNA
SP1,hsa-mir-19a,TF-miRNA
SP1,hsa-mir-19a,TF-miRNA
SP1,hsa-mir-19b-1,TF-miRNA
SP1,hsa-mir-200a,TF-miRNA
SP1,hsa-mir-200a,TF-miRNA
SP1,hsa-mir-200b,TF-miRNA
SP1,hsa-mir-200b,TF-miRNA
SP1,hsa-mir-200b,TF-miRNA
SP1,hsa-mir-200c,TF-miRNA
SP1,hsa-mir-20a,TF-miRNA
SP1,hsa-mir-22,TF-miRNA
SP1,hsa-mir-22,TF-miRNA
SP1,hsa-mir-23a,TF-miRNA
SP1,hsa-mir-23b,TF-miRNA
SP1,hsa-mir-24-2,TF-miRNA
SP1,hsa-mir-27a,TF-miRNA
SP1,hsa-mir-29c,TF-miRNA
SP1,hsa-mir-3151,TF-miRNA
SP1,hsa-mir-320a,TF-miRNA
SP1,hsa-mir-34c,TF-miRNA
SP1,hsa-mir-373,TF-miRNA
SP1,hsa-mir-429,TF-miRNA
SP1,hsa-mir-429,TF-miRNA
SP1,hsa-mir-630,TF-miRNA
SP1,hsa-mir-92a-1,TF-miRNA
SREBF1,hsa-mir-107,TF-miRNA
SREBF1,hsa-mir-185,TF-miRNA
SREBF1,hsa-mir-613,TF-miRNA
SREBF2,hsa-mir-17,TF-miRNA
SREBF2,hsa-mir-182,TF-miRNA
SREBF2,hsa-mir-183,TF-miRNA
SREBF2,hsa-mir-18a,TF-miRNA
SREBF2,hsa-mir-19a,TF-miRNA
SREBF2,hsa-mir-19b-1,TF-miRNA
SREBF2,hsa-mir-20a,TF-miRNA
SREBF2,hsa-mir-92a-1,TF-miRNA
SREBF2,hsa-mir-96,TF-miRNA
SRF,hsa-mir-1-1,TF-miRNA
SRF,hsa-mir-1-2,TF-miRNA
SRF,hsa-mir-143,TF-miRNA
SRF,hsa-mir-145,TF-miRNA
SRF,hsa-mir-199a-1,TF-miRNA
SRF,hsa-mir-199a-2,TF-miRNA
SRF,hsa-mir-199a-2,TF-miRNA
SRF,hsa-mir-206,TF-miRNA
SRF,hsa-mir-214,TF-miRNA
SRF,hsa-mir-3120,TF-miRNA
STAT1,hsa-mir-146b,TF-miRNA
STAT1,hsa-mir-155,TF-miRNA
STAT1,hsa-mir-29a,TF-miRNA
STAT1,hsa-mir-34a,TF-miRNA
STAT3,hsa-let-7d,TF-miRNA
STAT3,hsa-mir-125b-2,TF-miRNA
STAT3,hsa-mir-135b,TF-miRNA
STAT3,hsa-mir-143,TF-miRNA
STAT3,hsa-mir-146a,TF-miRNA
STAT3,hsa-mir-146b,TF-miRNA
STAT3,hsa-mir-146b,TF-miRNA
STAT3,hsa-mir-146b,TF-miRNA
STAT3,hsa-mir-146b,TF-miRNA
STAT3,hsa-mir-150,TF-miRNA
STAT3,hsa-mir-155,TF-miRNA
STAT3,hsa-mir-155,TF-miRNA
STAT3,hsa-mir-155,TF-miRNA
STAT3,hsa-mir-15a,TF-miRNA
STAT3,hsa-mir-16-1,TF-miRNA
STAT3,hsa-mir-17,TF-miRNA
STAT3,hsa-mir-181b-1,TF-miRNA
STAT3,hsa-mir-182,TF-miRNA
STAT3,hsa-mir-182,TF-miRNA
STAT3,hsa-mir-183,TF-miRNA
STAT3,hsa-mir-184,TF-miRNA
STAT3,hsa-mir-18a,TF-miRNA
STAT3,hsa-mir-197,TF-miRNA
STAT3,hsa-mir-19a,TF-miRNA
STAT3,hsa-mir-19b-1,TF-miRNA
STAT3,hsa-mir-200c,TF-miRNA
STAT3,hsa-mir-204,TF-miRNA
STAT3,hsa-mir-204,TF-miRNA
STAT3,hsa-mir-204,TF-miRNA
STAT3,hsa-mir-20a,TF-miRNA
STAT3,hsa-mir-21,TF-miRNA
STAT3,hsa-mir-21,TF-miRNA
STAT3,hsa-mir-21,TF-miRNA
STAT3,hsa-mir-21,TF-miRNA
STAT3,hsa-mir-21,TF-miRNA
STAT3,hsa-mir-21,TF-miRNA
STAT3,hsa-mir-21,TF-miRNA
STAT3,hsa-mir-21,TF-miRNA
STAT3,hsa-mir-21,TF-miRNA
STAT3,hsa-mir-214,TF-miRNA
STAT3,hsa-mir-22,TF-miRNA
STAT3,hsa-mir-23b,TF-miRNA
STAT3,hsa-mir-24-1,TF-miRNA
STAT3,hsa-mir-26a-1,TF-miRNA
STAT3,hsa-mir-27b,TF-miRNA
STAT3,hsa-mir-29a,TF-miRNA
STAT3,hsa-mir-29b-1,TF-miRNA
STAT3,hsa-mir-29b-2,TF-miRNA
STAT3,hsa-mir-29c,TF-miRNA
STAT3,hsa-mir-30c-1,TF-miRNA
STAT3,hsa-mir-34a,TF-miRNA
STAT3,hsa-mir-34a,TF-miRNA
STAT3,hsa-mir-370,TF-miRNA
STAT3,hsa-mir-383,TF-miRNA
STAT3,hsa-mir-520d,TF-miRNA
STAT3,hsa-mir-629,TF-miRNA
STAT3,hsa-mir-92a-1,TF-miRNA
STAT3,hsa-mir-96,TF-miRNA
TEAD1,hsa-mir-106b,TF-miRNA
TEAD1,hsa-mir-25,TF-miRNA
TEAD1,hsa-mir-93,TF-miRNA
TFAP2A,hsa-mir-126,TF-miRNA
TFAP2A,hsa-mir-17,TF-miRNA
TFAP2A,hsa-mir-18a,TF-miRNA
TFAP2A,hsa-mir-19a,TF-miRNA
TFAP2A,hsa-mir-19b-1,TF-miRNA
TFAP2A,hsa-mir-20a,TF-miRNA
TFAP2A,hsa-mir-214,TF-miRNA
TFAP2A,hsa-mir-638,TF-miRNA
TFAP2A,hsa-mir-92a-1,TF-miRNA
TFAP2A,hsa-mir-944,TF-miRNA
TFAP2C,hsa-mir-944,TF-miRNA
TP53,hsa-mir-100,TF-miRNA
TP53,hsa-mir-106a,TF-miRNA
TP53,hsa-mir-107,TF-miRNA
TP53,hsa-mir-107,TF-miRNA
TP53,hsa-mir-10b,TF-miRNA
TP53,hsa-mir-1204,TF-miRNA
TP53,hsa-mir-1204,TF-miRNA
TP53,hsa-mir-1206,TF-miRNA
TP53,hsa-mir-1246,TF-miRNA
TP53,hsa-mir-1246,TF-miRNA
TP53,hsa-mir-125a,TF-miRNA
TP53,hsa-mir-127,TF-miRNA
TP53,hsa-mir-1275,TF-miRNA
TP53,hsa-mir-1277,TF-miRNA
TP53,hsa-mir-1323,TF-miRNA
TP53,hsa-mir-139,TF-miRNA
TP53,hsa-mir-141,TF-miRNA
TP53,hsa-mir-142,TF-miRNA
TP53,hsa-mir-143,TF-miRNA
TP53,hsa-mir-145,TF-miRNA
TP53,hsa-mir-145,TF-miRNA
TP53,hsa-mir-145,TF-miRNA
TP53,hsa-mir-145,TF-miRNA
TP53,hsa-mir-146a,TF-miRNA
TP53,hsa-mir-148a,TF-miRNA
TP53,hsa-mir-148a,TF-miRNA
TP53,hsa-mir-149,TF-miRNA
TP53,hsa-mir-150,TF-miRNA
TP53,hsa-mir-151a,TF-miRNA
TP53,hsa-mir-155,TF-miRNA
TP53,hsa-mir-15a,TF-miRNA
TP53,hsa-mir-15b,TF-miRNA
TP53,hsa-mir-16-1,TF-miRNA
TP53,hsa-mir-16-2,TF-miRNA
TP53,hsa-mir-17,TF-miRNA
TP53,hsa-mir-184,TF-miRNA
TP53,hsa-mir-18a,TF-miRNA
TP53,hsa-mir-191,TF-miRNA
TP53,hsa-mir-192,TF-miRNA
TP53,hsa-mir-192,TF-miRNA
TP53,hsa-mir-192,TF-miRNA
TP53,hsa-mir-192,TF-miRNA
TP53,hsa-mir-192,TF-miRNA
TP53,hsa-mir-193b,TF-miRNA
TP53,hsa-mir-196a-1,TF-miRNA
TP53,hsa-mir-198,TF-miRNA
TP53,hsa-mir-19a,TF-miRNA
TP53,hsa-mir-19b-1,TF-miRNA
TP53,hsa-mir-200a,TF-miRNA
TP53,hsa-mir-200b,TF-miRNA
TP53,hsa-mir-200c,TF-miRNA
TP53,hsa-mir-200c,TF-miRNA
TP53,hsa-mir-202,TF-miRNA
TP53,hsa-mir-205,TF-miRNA
TP53,hsa-mir-20a,TF-miRNA
TP53,hsa-mir-210,TF-miRNA
TP53,hsa-mir-215,TF-miRNA
TP53,hsa-mir-215,TF-miRNA
TP53,hsa-mir-22,TF-miRNA
TP53,hsa-mir-22,TF-miRNA
TP53,hsa-mir-221,TF-miRNA
TP53,hsa-mir-222,TF-miRNA
TP53,hsa-mir-224,TF-miRNA
TP53,hsa-mir-23b,TF-miRNA
TP53,hsa-mir-23b,TF-miRNA
TP53,hsa-mir-27a,TF-miRNA
TP53,hsa-mir-27b,TF-miRNA
TP53,hsa-mir-29a,TF-miRNA
TP53,hsa-mir-300,TF-miRNA
TP53,hsa-mir-34a,TF-miRNA
TP53,hsa-mir-34a,TF-miRNA
TP53,hsa-mir-34a,TF-miRNA
TP53,hsa-mir-34a,TF-miRNA
TP53,hsa-mir-34a,TF-miRNA
TP53,hsa-mir-34a,TF-miRNA
TP53,hsa-mir-34a,TF-miRNA
TP53,hsa-mir-34a,TF-miRNA
TP53,hsa-mir-34a,TF-miRNA
TP53,hsa-mir-34a,TF-miRNA
TP53,hsa-mir-34a,TF-miRNA
TP53,hsa-mir-34a,TF-miRNA
TP53,hsa-mir-34a,TF-miRNA
TP53,hsa-mir-34b,TF-miRNA
TP53,hsa-mir-34b,TF-miRNA
TP53,hsa-mir-34b,TF-miRNA
TP53,hsa-mir-34b,TF-miRNA
TP53,hsa-mir-34b,TF-miRNA
TP53,hsa-mir-34b,TF-miRNA
TP53,hsa-mir-34c,TF-miRNA
TP53,hsa-mir-34c,TF-miRNA
TP53,hsa-mir-34c,TF-miRNA
TP53,hsa-mir-34c,TF-miRNA
TP53,hsa-mir-34c,TF-miRNA
TP53,hsa-mir-34c,TF-miRNA
TP53,hsa-mir-34c,TF-miRNA
TP53,hsa-mir-34c,TF-miRNA
TP53,hsa-mir-3661,TF-miRNA
TP53,hsa-mir-3662,TF-miRNA
TP53,hsa-mir-381,TF-miRNA
TP53,hsa-mir-429,TF-miRNA
TP53,hsa-mir-4521,TF-miRNA
TP53,hsa-mir-502,TF-miRNA
TP53,hsa-mir-504,TF-miRNA
TP53,hsa-mir-506,TF-miRNA
TP53,hsa-mir-519d,TF-miRNA
TP53,hsa-mir-590,TF-miRNA
TP53,hsa-mir-605,TF-miRNA
TP53,hsa-mir-655,TF-miRNA
TP53,hsa-mir-7-1,TF-miRNA
TP53,hsa-mir-9-2,TF-miRNA
TP53,hsa-mir-92a-1,TF-miRNA
TP63,hsa-mir-1204,TF-miRNA
TP63,hsa-mir-1246,TF-miRNA
TP63,hsa-mir-130b,TF-miRNA
TP63,hsa-mir-133b,TF-miRNA
TP63,hsa-mir-138-2,TF-miRNA
TP63,hsa-mir-155,TF-miRNA
TP63,hsa-mir-155,TF-miRNA
TP63,hsa-mir-181b-1,TF-miRNA
TP63,hsa-mir-193a,TF-miRNA
TP63,hsa-mir-200a,TF-miRNA
TP63,hsa-mir-200b,TF-miRNA
TP63,hsa-mir-202,TF-miRNA
TP63,hsa-mir-205,TF-miRNA
TP63,hsa-mir-205,TF-miRNA
TP63,hsa-mir-34a,TF-miRNA
TP63,hsa-mir-374a,TF-miRNA
TP63,hsa-mir-429,TF-miRNA
TP63,hsa-mir-630,TF-miRNA
TP63,hsa-mir-944,TF-miRNA
USF1,hsa-mir-132,TF-miRNA
USF1,hsa-mir-148a,TF-miRNA
USF1,hsa-mir-483,TF-miRNA
YY1,hsa-let-7a-1,TF-miRNA
YY1,hsa-let-7a-2,TF-miRNA
YY1,hsa-let-7a-3,TF-miRNA
YY1,hsa-mir-10a,TF-miRNA
YY1,hsa-mir-137,TF-miRNA
YY1,hsa-mir-155,TF-miRNA
YY1,hsa-mir-155,TF-miRNA
YY1,hsa-mir-2682,TF-miRNA
YY1,hsa-mir-29a,TF-miRNA
YY1,hsa-mir-29a,TF-miRNA
YY1,hsa-mir-29c,TF-miRNA
YY1,hsa-mir-31,TF-miRNA
YY1,hsa-mir-372,TF-miRNA
YY1,hsa-mir-9-1,TF-miRNA
YY1,hsa-mir-9-1,TF-miRNA
YY1,hsa-mir-9-2,TF-miRNA
YY1,hsa-mir-9-3,TF-miRNA
